,URL,Category,Title,Image URL,Price,Details
0,https://www.amazon.de/dp/0000001015,book,Tate Calendar 2001,"https://images-na.ssl-images-amazon.com/images/I/51OgcExB-WL._SX489_BO1,204,203,200_.jpg",N/A,N/A
1,https://www.amazon.fr/dp/0000001015,book,Tate Calendar 2001,"https://images-na.ssl-images-amazon.com/images/I/51OgcExB-WL._SX489_BO1,204,203,200_.jpg",N/A,N/A
2,https://www.amazon.de/dp/000004458X,beauty,Old Spice Shaving Cream - 70 g (original) - Pack of 2,"https://m.media-amazon.com/images/I/41xHbjdSXJL._SX355_PIbundle-2,TopRight,0,0_SX355SY222SH20_.jpg","€8
00","Item Package Dimensions L x W x H 18.3 x 6.7 x 3.9 centimetres
Package Weight 0.18 Kilograms
Item Weight 0.15 Pounds
Manufacturer Old Spice
Brand Name Old Spice
Item Form Creme,Schaum
Scent Rasur
Item model number SG_000004458X_US
Package Dimensions 18.29 x 6.71 x 3.91 cm; 68.04 Grams
ASIN 000004458X"
3,https://www.amazon.fr/dp/000004458X,N/A,N/A,N/A,N/A,N/A
4,https://www.amazon.de/dp/0001002198,book,"Sonate: Viola (Viola da gamba, Violoncello) und konzertierendes Cembalo (Klavier). (Antiqua)","https://images-na.ssl-images-amazon.com/images/I/41mrfh9uENL._SX379_BO1,204,203,200_.jpg",€16.50,"Product details
Publisher : SCHOTT MUSIC GmbH & Co KG, Mainz (21 July 1980)
Language : French
Sheet music : 20 pages
ISBN-10 : 0001002198
ISBN-13 : 978-0001002197"
5,https://www.amazon.fr/dp/0001002198,book,Sonate alto,"https://images-na.ssl-images-amazon.com/images/I/41mrfh9uENL._SX379_BO1,204,203,200_.jpg","24,28 €","Détails sur le produit
Éditeur : SCHOTT (1 janvier 2000)
Langue : Français
ISBN-10 : 0001002198
ISBN-13 : 978-0001002197
Poids de l'article : 601 g"
6,https://www.amazon.fr/dp/0001002791,book,Konzert d-moll,"https://images-na.ssl-images-amazon.com/images/I/51zOKBfmkBL._SX336_BO1,204,203,200_.jpg","9,03 €","Détails sur le produit
Éditeur : SCHOTT (1 janvier 1984)
Langue : Français
ISBN-10 : 0001002791
ISBN-13 : 978-0001002791
Poids de l'article : 201 g"
7,https://www.amazon.it/dp/0001002791,book,"Konzert d-moll: Oboe (Violine), Streicher und Basso continuo (Cembalo/Orgel); Violoncello (Viola da gamba) ad libitum. Violoncello.","https://images-na.ssl-images-amazon.com/images/I/51zOKBfmkBL._SX336_BO1,204,203,200_.jpg","9,03 €","Dettagli prodotto
Editore : SCHOTT (1 gennaio 1984)
Lingua : Francese
Spartito musicale : 4 pagine
ISBN-10 : 0001002791
ISBN-13 : 978-0001002791
Peso articolo : 201 g"
8,https://www.amazon.de/dp/0001002864,book,"Concerto II G-Dur: nach Klaviersonaten von Johann Christian Bach. KV 107. Cembalo (Klavier), 2 Violinen und Bass (Violoncello). Partitur und Stimmen. (Antiqua)","https://images-na.ssl-images-amazon.com/images/I/41rPbL9VXVL._SX379_BO1,204,203,200_.jpg",N/A,N/A
9,https://www.amazon.fr/dp/0001002864,book,Concert 02 g kv107,"https://images-na.ssl-images-amazon.com/images/I/41rPbL9VXVL._SX379_BO1,204,203,200_.jpg","30,92 €","Détails sur le produit
Éditeur : SCHOTT (1 janvier 2000)
Langue : Français
ISBN-10 : 0001002864
ISBN-13 : 978-0001002869
Poids de l'article : 801 g"
